	KO definition	gene name	counts
2160	scavenger receptor class F member 2	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
2210	serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
925	checkpoint serine/threonine-protein kinase [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
926	chitin biosynthesis protein CHS5	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1', 'NODE_40297_length_1668_cov_702.177231_g1000_i10.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	3
2205	serine/threonine kinase-like domain-containing protein STKLD1	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
684	acyl-CoA (8-3)-desaturase (Delta-5 desaturase) [EC:1.14.19.44]	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	3
2092	receptor protein-tyrosine kinase [EC:2.7.10.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1076	cyclin-dependent kinase 9 [EC:2.7.11.22 2.7.11.23]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2206	serine/threonine protein kinase KIN1/2 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2207	serine/threonine protein kinase SCH9 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2208	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1075	cyclin-dependent kinase 8/11 [EC:2.7.11.22 2.7.11.23]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
964	coagulation factor II (thrombin) [EC:3.4.21.5]	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
2209	serine/threonine-protein kinase 11 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1073	cyclin-dependent kinase 6 [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
666	actin-related protein 10	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
1072	cyclin-dependent kinase 5 [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
676	actin-related protein 9	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
675	actin-related protein 8, plant	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
674	actin-related protein 8	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
673	actin-related protein 7, plant	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
672	actin-related protein 7	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
671	actin-related protein 6	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
1071	cyclin-dependent kinase 4 [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
670	actin-related protein 5	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
669	actin-related protein 4	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
668	actin-related protein 3	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
667	actin-related protein 2	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1', 'NODE_69855_length_604_cov_673.962567_g15769_i1.p1', 'NODE_87303_length_337_cov_439.826531_g43325_i0.p1']	3
1203	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2114	renal tumor antigen [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
544	TRAF2 and NCK interacting kinase [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
316	Janus kinase 2 [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2456	testis-specific serine kinase [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1627	mitogen-activated protein kinase 1/3 [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
312	IL2-inducible T-cell kinase [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1427	interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1431	intersectin	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
1432	intestinal cell (MAK-like) kinase [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2461	tetraspanin-13/31	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_29204_length_2258_cov_432.055079_g10_i7406.p1', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	3
1830	nucleolar protein 6	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1', 'NODE_22034_length_2744_cov_650.165494_g2798_i7.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	3
96	Alphabaculovirus/Betabaculovirus serine/threonine-protein kinase 1 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1827	nucleolar protein 12	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1', 'NODE_22034_length_2744_cov_650.165494_g2798_i7.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	3
97	B lymphoid tyrosine kinase [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2604	tyrosine-protein kinase shark [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2603	tyrosine-protein kinase ZAP-70 [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1451	kalirin [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2602	tyrosine-protein kinase Yes [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1454	keren	['NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1']	3
1626	mitogen-activated protein kinase 1/2 [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1455	kinase [EC:2.7.1.-]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2601	tyrosine-protein kinase Tec [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1814	nuclear migration protein JNM1	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
282	G protein-coupled receptor kinase [EC:2.7.11.16]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1465	kinesin family member 23	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
278	G protein-coupled receptor 152	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p4', 'NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	3
103	BR serine/threonine kinase [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
104	BRCA1-associated protein [EC:2.3.2.27]	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
1468	kinesin family member 3B	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
2600	tyrosine-protein kinase TXK [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1724	myosin X	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1']	3
1812	novel protein kinase C theta type [EC:2.7.11.13]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
315	Janus kinase 1 [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
94	Ackermannviridae recombination endonuclease subunit	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
1379	huntingtin interacting protein 1	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
1628	mitogen-activated protein kinase 15 [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2623	uncharacterized serine/threonine-protein kinase SgK494 [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1642	mitogen-activated protein kinase kinase 4/5 [EC:2.7.12.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
374	MSHA biogenesis protein MshN	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	3
372	MPK-like protein 1	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
368	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 12	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	3
367	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 1	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p2', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2', 'NODE_56578_length_997_cov_553.798742_g17185_i0.p2']	3
360	MAP/microtubule affinity-regulating kinase [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1857	osomolarity two-component system, sensor histidine kinase CHK1 [EC:2.7.13.3]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1856	osomolarity two-component system, response regulator SKN7	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
348	LRR receptor-like serine/threonine-protein kinase ERECTA [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2615	ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	3
2432	sushi domain-containing protein 1	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
1636	mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase) [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1635	mitogen-activated protein kinase 8 [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1399	inactive serine/threonine-protein kinase PLK5	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1400	inhibitor of nuclear factor kappa-B kinase subunit alpha [EC:2.7.11.10]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1401	inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1402	inhibitor of nuclear factor kappa-B kinase subunit epsilon [EC:2.7.11.10]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1403	inorganic phosphate transporter, PiT family	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p2', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	3
1851	opacity associated protein	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	3
1850	oncoprotein-induced transcript 3 protein	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
1634	mitogen-activated protein kinase 7/14 [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1632	mitogen-activated protein kinase 6 [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1631	mitogen-activated protein kinase 4/6 [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1630	mitogen-activated protein kinase 4 [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
323	KSHV latency-associated nuclear antigen	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	3
2452	teratocarcinoma-derived growth factor 1	['NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	3
1841	obscurin-RhoGEF [EC:2.7.11.1]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1629	mitogen-activated protein kinase 3 [EC:2.7.11.24]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
2599	tyrosine-protein kinase Srms [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
1811	novel protein kinase C eta type [EC:2.7.11.13]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
267	FK506-binding protein 7 [EC:5.2.1.8]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	3
2598	tyrosine-protein kinase Src [EC:2.7.10.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
203	E3 ubiquitin-protein ligase RNF217 [EC:2.3.2.31]	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	3
1553	low density lipoprotein-related protein 2	['NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1']	3
2543	triadin	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_40297_length_1668_cov_702.177231_g1000_i10.p1']	3
2544	tribbles homolog 1/2	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	3
